year,soc_name,soc,cip_name,cip,avg_wage,avg_wage_moe,num_ppl,num_ppl_moe
2014,"Human resources managers","113121","Protective Services","43",121593.0,52273.3,2864,1074.63
2014,"Human resources managers","113121","Public Administration and Social Service","44",75333.7,14548.0,3463,1062.8
2014,"Human resources managers","113121","Social Sciences","45",112251.0,12211.4,17841,2588.29
2014,"Human resources managers","113121","Visual & Performing Arts","50",78058.8,15606.3,4078,1425.29
2014,"Human resources managers","113121","Health","51",83668.1,13616.4,6559,1618.47
2014,"Human resources managers","113121","Business","52",92504.6,4295.12,91623,5706.49
2014,"Human resources managers","113121","History","54",110707.0,25898.8,4218,1180.81
2014,"Human resources managers","113121","Multidisciplinary or General Science","GS",55636.5,17703.3,1812,960.44
2014,"Training & development managers","113131","Communications","09",80347.7,13425.0,911,460.26
2014,"Training & development managers","113131","Education","13",73817.8,14340.0,3452,1306.62
2014,"Training & development managers","113131","Engineering","14",125568.0,49017.9,1222,609.93
2014,"Training & development managers","113131","English","23",94555.9,20816.0,1316,699.074
2014,"Training & development managers","113131","Liberal Arts & Humanities","24",86756.2,18867.9,859,756.853
2014,"Training & development managers","113131","Biology","26",55676.6,23182.7,1360,697.907
2014,"Training & development managers","113131","Interdisciplinary Studies","30",76216.9,29085.0,443,335.588
2014,"Training & development managers","113131","Parks, Recreation, & Leisure","31",70694.1,19688.9,823,516.165
2014,"Training & development managers","113131","Psychology","42",97882.9,18918.4,1950,781.017
2014,"Training & development managers","113131","Protective Services","43",58480.0,8304.94,812,561.096
2014,"Training & development managers","113131","Public Administration and Social Service","44",67958.7,11657.4,573,421.633
2014,"Training & development managers","113131","Social Sciences","45",120369.0,41167.4,4259,1653.46
2014,"Training & development managers","113131","Visual & Performing Arts","50",61398.6,20685.9,831,473.769
2014,"Training & development managers","113131","Health","51",87867.1,20439.6,955,628.508
2014,"Training & development managers","113131","Business","52",92959.8,9638.89,10030,2027.39
2014,"Training & development managers","113131","History","54",84535.4,23831.5,996,547.292
2014,"Emergency management directors","119161","Protective Services","43",43394.8,12308.5,1239,595.782
2014,"Emergency management directors","119161","Social Sciences","45",138250.0,70489.7,263,205.154
2014,"Emergency management directors","119161","Health","51",47268.7,24444.1,626,508.019
2014,"Emergency management directors","119161","Business","52",60110.8,17123.9,1050,553.198
2014,"Emergency management directors","119161","History","54",74817.9,25401.3,420,308.814
2014,"Agents & business managers of artists, performers, & athletes","131011","Communications","09",61767.1,13930.3,1390,615.413
2014,"Agents & business managers of artists, performers, & athletes","131011","Computer and Information Sciences and Support Services","11",53299.3,45940.5,587,534.603
2014,"Agents & business managers of artists, performers, & athletes","131011","Education","13",49540.4,10504.6,972,533.615
2014,"Agents & business managers of artists, performers, & athletes","131011","Engineering","14",71928.4,28732.3,1352,914.712
2014,"Agents & business managers of artists, performers, & athletes","131011","English","23",126749.0,70827.0,1885,874.032
2014,"Agents & business managers of artists, performers, & athletes","131011","Liberal Arts & Humanities","24",97286.7,47897.2,593,429.364
2014,"Agents & business managers of artists, performers, & athletes","131011","Biology","26",91912.1,26007.3,936,668.149
2014,"Agents & business managers of artists, performers, & athletes","131011","Psychology","42",55080.6,26647.4,930,622.313
2014,"Agents & business managers of artists, performers, & athletes","131011","Social Sciences","45",88441.5,35798.5,1984,938.458
2014,"Agents & business managers of artists, performers, & athletes","131011","Visual & Performing Arts","50",52914.2,16891.5,2684,923.553
2014,"Agents & business managers of artists, performers, & athletes","131011","Business","52",80664.3,20726.8,5162,1466.33
2014,"Buyers & purchasing agents, farm products","131021","Agriculture","01",109958.0,42542.8,1097,705.379
2014,"Buyers & purchasing agents, farm products","131021","Business","52",77030.6,28970.5,850,539.272
2014,"Wholesale & retail buyers, except farm products","131022","Agriculture","01",57043.8,9414.9,573,419.698
2014,"Wholesale & retail buyers, except farm products","131022","Communications","09",41858.4,8892.17,3918,1325.68
2014,"Wholesale & retail buyers, except farm products","131022","Computer and Information Sciences and Support Services","11",50229.4,15015.6,1498,795.123
2014,"Wholesale & retail buyers, except farm products","131022","Education","13",35558.1,8073.19,4523,1329.62
2014,"Wholesale & retail buyers, except farm products","131022","Engineering","14",43906.2,23624.5,1498,900.637
2014,"Wholesale & retail buyers, except farm products","131022","Language & Linguistics","16",63875.7,37864.7,766,619.021
2014,"Wholesale & retail buyers, except farm products","131022","Human Sciences","19",43049.5,18017.7,1222,632.663
2014,"Wholesale & retail buyers, except farm products","131022","English","23",37919.8,7623.64,2684,1065.58
2014,"Wholesale & retail buyers, except farm products","131022","Liberal Arts & Humanities","24",38403.3,24877.7,661,467.942
2014,"Wholesale & retail buyers, except farm products","131022","Biology","26",90864.0,38280.7,1355,683.95
2014,"Wholesale & retail buyers, except farm products","131022","Math & Statistics","27",55505.0,5571.08,1018,848.961
2014,"Wholesale & retail buyers, except farm products","131022","Parks, Recreation, & Leisure","31",43669.5,19789.6,860,761.624
2014,"Wholesale & retail buyers, except farm products","131022","Theology","39",40415.6,11908.6,577,476.105
2014,"Wholesale & retail buyers, except farm products","131022","Psychology","42",23772.2,6247.75,2572,1114.86
2014,"Wholesale & retail buyers, except farm products","131022","Protective Services","43",31314.5,7725.97,1161,749.536
2014,"Wholesale & retail buyers, except farm products","131022","Public Administration and Social Service","44",39172.9,27699.0,460,330.222
2014,"Wholesale & retail buyers, except farm products","131022","Social Sciences","45",58661.9,10033.8,7542,1715.87
2014,"Wholesale & retail buyers, except farm products","131022","Visual & Performing Arts","50",47545.3,9533.56,5550,1546.39
2014,"Wholesale & retail buyers, except farm products","131022","Health","51",68492.4,41966.9,1116,571.163
2014,"Wholesale & retail buyers, except farm products","131022","Business","52",64224.8,8612.21,27046,3098.85
2014,"Wholesale & retail buyers, except farm products","131022","History","54",52639.8,18598.2,1330,674.72
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Agriculture","01",37616.4,9963.74,906,482.558
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Natural Resources & Conservation","03",49932.1,26510.4,503,452.785
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Architecture and Related Services","04",45393.4,9756.8,1061,761.499
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Communications","09",69953.7,19058.5,5195,1242.09
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Computer and Information Sciences and Support Services","11",75646.1,18349.5,2064,970.768
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Education","13",57523.4,8359.76,5203,1052.66
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Engineering","14",92048.2,19781.4,5403,1416.31
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Engineering Technologies","15",81819.1,15634.3,1350,682.129
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Language & Linguistics","16",63753.0,23015.9,742,457.807
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Human Sciences","19",55681.0,17291.7,783,427.092
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Legal","22",60062.8,13055.2,1082,877.267
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","English","23",56596.4,6834.97,4700,1624.87
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Liberal Arts & Humanities","24",65744.3,16736.9,1374,743.721
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Biology","26",44833.8,14456.5,1515,646.406
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Math & Statistics","27",68864.1,21676.2,1728,861.381
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Interdisciplinary Studies","30",64237.1,28541.1,494,348.24
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Parks, Recreation, & Leisure","31",55454.6,22464.1,1376,870.261
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Philosophy and Religious Studies","38",62638.2,25535.7,788,520.239
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Theology","39",53907.3,10267.5,569,438.821
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Physical Sciences","40",70071.6,16651.2,1197,612.714
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Psychology","42",65239.8,17092.1,4453,1388.91
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Protective Services","43",38341.9,7881.36,844,508.922
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Public Administration and Social Service","44",53671.1,13972.2,793,482.59
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Social Sciences","45",77502.9,13766.0,7233,1652.37
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Construction","46",78187.8,30316.0,1126,739.715
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Visual & Performing Arts","50",53965.5,8246.85,4039,1175.98
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Health","51",73916.7,15108.0,1606,609.963
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Business","52",73827.7,5105.63,60284,5068.51
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","History","54",71013.8,12995.6,1774,730.549
2014,"Purchasing agents, except wholesale, retail, & farm products","131023","Multidisciplinary or General Science","GS",74986.7,13105.9,1674,1086.22
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Agriculture","01",70626.7,19693.3,970,845.342
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Natural Resources & Conservation","03",90003.6,36982.7,449,329.702
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Architecture and Related Services","04",57649.3,21022.9,698,493.009
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Communications","09",51142.7,7075.95,7884,1748.19
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Computer and Information Sciences and Support Services","11",59778.7,6433.29,2754,1125.38
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Education","13",54741.8,5968.92,8130,2159.89
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Engineering","14",67099.1,15365.9,3608,983.038
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Language & Linguistics","16",66852.9,15961.2,1177,647.68
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Human Sciences","19",51097.0,16314.0,673,562.423
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","English","23",54030.0,4580.58,3874,1057.54
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Liberal Arts & Humanities","24",49277.2,9202.71,3132,1190.6
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Biology","26",65264.3,23498.5,2074,799.402
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Math & Statistics","27",61812.7,12217.8,1671,708.729
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Interdisciplinary Studies","30",43059.7,13850.6,630,425.189
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Parks, Recreation, & Leisure","31",47498.7,15541.2,540,372.23
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Theology","39",46255.8,11458.0,995,635.342
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Physical Sciences","40",72858.2,24173.3,1106,556.138
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Psychology","42",70500.1,17941.0,7730,2158.38
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Protective Services","43",58216.5,4917.51,6378,1609.77
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Public Administration and Social Service","44",60284.3,11522.5,1098,447.617
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Social Sciences","45",62818.4,3642.22,13843,2010.19
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Visual & Performing Arts","50",60597.6,10246.1,3081,916.771
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Health","51",55690.0,4778.47,4838,1240.73
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Business","52",62723.1,3255.03,51476,4918.32
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","History","54",61893.1,9993.81,4264,1592.62
2014,"Claims adjusters, appraisers, examiners, & investigators","131030","Multidisciplinary or General Science","GS",69039.3,6303.86,653,459.466
2014,"Compliance officers","131041","Agriculture","01",88300.7,19221.5,2135,894.434
2014,"Compliance officers","131041","Natural Resources & Conservation","03",61214.2,17856.2,4388,1555.77
2014,"Compliance officers","131041","Cultural & Gender Studies","05",71541.2,18482.2,721,558.81
2014,"Compliance officers","131041","Communications","09",89423.0,24220.5,4273,1269.82
2014,"Compliance officers","131041","Computer and Information Sciences and Support Services","11",88299.4,14758.0,1784,750.947
2014,"Compliance officers","131041","Education","13",62156.3,7095.16,6184,1548.31
2014,"Compliance officers","131041","Engineering","14",103852.0,13100.9,7455,1921.06
2014,"Compliance officers","131041","Engineering Technologies","15",71659.9,20831.3,1294,798.463
2014,"Compliance officers","131041","Language & Linguistics","16",62251.6,18181.3,1138,607.36
2014,"Compliance officers","131041","Legal","22",71638.8,45759.7,571,443.157
2014,"Compliance officers","131041","English","23",77932.9,18438.0,3697,1007.74
2014,"Compliance officers","131041","Liberal Arts & Humanities","24",66096.8,14396.7,1241,517.003
2014,"Compliance officers","131041","Biology","26",85783.9,9603.65,10828,2020.67
2014,"Compliance officers","131041","Math & Statistics","27",165551.0,46150.5,1028,574.031
2014,"Compliance officers","131041","Interdisciplinary Studies","30",66382.4,18492.5,1173,624.406
2014,"Compliance officers","131041","Parks, Recreation, & Leisure","31",41941.0,8941.32,855,629.353
2014,"Compliance officers","131041","Philosophy and Religious Studies","38",68720.0,23967.0,826,587.217
2014,"Compliance officers","131041","Physical Sciences","40",78605.6,15669.3,5013,1290.13
2014,"Compliance officers","131041","Psychology","42",84002.1,31450.1,5776,1608.33
2014,"Compliance officers","131041","Protective Services","43",71862.7,10194.5,4930,1516.91
2014,"Compliance officers","131041","Public Administration and Social Service","44",62706.1,8239.03,1981,781.606
2014,"Compliance officers","131041","Social Sciences","45",96391.8,12236.3,15201,2570.16
2014,"Compliance officers","131041","Visual & Performing Arts","50",54222.3,10760.5,1505,532.545
2014,"Compliance officers","131041","Health","51",95926.9,11169.6,5726,1529.15
2014,"Compliance officers","131041","Business","52",96906.9,10454.3,38159,4218.15
2014,"Compliance officers","131041","History","54",130609.0,63703.1,1700,811.108
2014,"Compliance officers","131041","Multidisciplinary or General Science","GS",67345.1,5188.9,1673,851.044
2014,"Cost estimators","131051","Natural Resources & Conservation","03",135376.0,81570.4,462,295.251
2014,"Cost estimators","131051","Architecture and Related Services","04",71866.0,15942.0,1210,612.492
2014,"Cost estimators","131051","Communications","09",53029.1,19338.7,2078,1248.35
2014,"Cost estimators","131051","Computer and Information Sciences and Support Services","11",88464.1,16336.2,731,434.725
2014,"Cost estimators","131051","Education","13",64600.5,10837.0,1442,837.967
2014,"Cost estimators","131051","Engineering","14",83571.3,9577.05,10320,1747.42
2014,"Cost estimators","131051","Engineering Technologies","15",83609.4,20235.8,1359,598.984
2014,"Cost estimators","131051","English","23",81895.5,43169.0,994,609.037
2014,"Cost estimators","131051","Biology","26",60983.1,19765.8,770,486.187
2014,"Cost estimators","131051","Math & Statistics","27",43508.7,13208.6,747,532.853
2014,"Cost estimators","131051","Protective Services","43",67188.6,13392.2,507,369.993
2014,"Cost estimators","131051","Social Sciences","45",102561.0,36733.9,2880,1010.23
2014,"Cost estimators","131051","Construction","46",99897.1,13250.5,3244,1025.62
2014,"Cost estimators","131051","Visual & Performing Arts","50",51282.8,13502.2,1255,556.748
2014,"Cost estimators","131051","Business","52",65535.8,5388.49,11841,2463.85
2014,"Cost estimators","131051","History","54",60131.4,15760.6,638,397.35
2014,"Cost estimators","131051","Multidisciplinary or General Science","GS",56840.7,40709.1,891,562.824
2014,"Human resources workers","131070","Agriculture","01",71749.1,12639.9,2014,782.846
2014,"Human resources workers","131070","Natural Resources & Conservation","03",62937.2,9167.54,2072,783.431
2014,"Human resources workers","131070","Architecture and Related Services","04",92630.0,26761.4,2246,1018.8
2014,"Human resources workers","131070","Cultural & Gender Studies","05",75950.4,25655.6,2118,892.263
2014,"Human resources workers","131070","Communications","09",64654.9,4146.71,34445,3793.1
2014,"Human resources workers","131070","Communication Technologies","10",33731.9,24711.7,631,569.865
2014,"Human resources workers","131070","Computer and Information Sciences and Support Services","11",72317.3,13565.8,5811,1390.48
2014,"Human resources workers","131070","Personal & Culinary Services","12",46767.6,21941.5,589,486.724
2014,"Human resources workers","131070","Education","13",58536.6,6588.65,22962,2974.3
2014,"Human resources workers","131070","Engineering","14",93313.0,14341.1,10911,1803.65
2014,"Human resources workers","131070","Engineering Technologies","15",71951.3,12893.3,2356,829.378
2014,"Human resources workers","131070","Language & Linguistics","16",64147.4,9642.12,4907,1333.28
2014,"Human resources workers","131070","Human Sciences","19",46478.5,8285.58,3556,1212.52
2014,"Human resources workers","131070","Legal","22",45810.8,9247.29,1392,796.636
2014,"Human resources workers","131070","English","23",65768.8,9567.33,16306,2737.55
2014,"Human resources workers","131070","Liberal Arts & Humanities","24",67717.6,8492.26,6306,1472.32
2014,"Human resources workers","131070","Biology","26",89597.6,19049.4,8077,1966.79
2014,"Human resources workers","131070","Math & Statistics","27",125972.0,50773.5,1831,689.861
2014,"Human resources workers","131070","Interdisciplinary Studies","30",56665.4,14011.8,4054,1254.9
2014,"Human resources workers","131070","Parks, Recreation, & Leisure","31",45501.6,8512.33,4643,1663.65
2014,"Human resources workers","131070","Philosophy and Religious Studies","38",93120.9,36363.9,2461,879.806
2014,"Human resources workers","131070","Theology","39",66154.0,31390.5,1093,571.442
2014,"Human resources workers","131070","Physical Sciences","40",98236.7,34457.9,2424,815.836
2014,"Human resources workers","131070","Psychology","42",70438.2,5285.27,40738,4743.52
2014,"Human resources workers","131070","Protective Services","43",69219.9,9736.8,7723,1556.76
2014,"Human resources workers","131070","Public Administration and Social Service","44",68192.1,12277.4,7007,1601.69
2014,"Human resources workers","131070","Social Sciences","45",76370.9,6038.32,49206,4793.86
2014,"Human resources workers","131070","Visual & Performing Arts","50",68685.0,18263.0,11280,2440.57
2014,"Human resources workers","131070","Health","51",53018.4,6850.25,11421,1843.74
2014,"Human resources workers","131070","Business","52",75624.0,3247.04,174802,8932.72
2014,"Human resources workers","131070","History","54",116234.0,37150.1,6489,1699.64
2014,"Human resources workers","131070","Multidisciplinary or General Science","GS",47081.5,16255.4,2178,1113.24
2014,"Logisticians","131081","Agriculture","01",83072.6,42226.2,494,371.1
2014,"Logisticians","131081","Communications","09",38330.3,13479.6,2014,1006.17
2014,"Logisticians","131081","Computer and Information Sciences and Support Services","11",70118.6,14370.2,1663,931.63
2014,"Logisticians","131081","Education","13",48925.3,10716.9,1975,781.227
2014,"Logisticians","131081","Engineering","14",100412.0,21140.1,3522,957.031
2014,"Logisticians","131081","Engineering Technologies","15",73838.5,21512.7,833,492.987
2014,"Logisticians","131081","Language & Linguistics","16",41752.9,23272.1,536,344.287
2014,"Logisticians","131081","English","23",37793.2,21174.4,377,262.307
2014,"Logisticians","131081","Liberal Arts & Humanities","24",150048.0,100276.0,812,513.306
2014,"Logisticians","131081","Biology","26",50674.8,21054.7,941,559.628
2014,"Logisticians","131081","Physical Sciences","40",44302.6,27768.4,1096,810.427
2014,"Logisticians","131081","Psychology","42",53140.5,13706.8,1075,495.988
2014,"Logisticians","131081","Protective Services","43",47564.7,12055.4,1970,823.956
2014,"Logisticians","131081","Social Sciences","45",59711.5,11757.9,3354,1093.22
2014,"Logisticians","131081","Transportation","49",72240.9,21145.1,444,359.777
2014,"Logisticians","131081","Visual & Performing Arts","50",46364.9,14362.2,471,366.91
2014,"Logisticians","131081","Health","51",103677.0,104643.0,576,363.025
2014,"Logisticians","131081","Business","52",60955.6,3600.13,21197,2380.86
2014,"Logisticians","131081","History","54",74456.9,23333.8,1250,649.493
2014,"Management analysts","131111","Agriculture","01",69798.6,11998.8,4791,1365.09
2014,"Management analysts","131111","Natural Resources & Conservation","03",88222.0,16043.3,4820,1187.68
2014,"Management analysts","131111","Architecture and Related Services","04",93795.0,27804.4,2559,801.953
2014,"Management analysts","131111","Cultural & Gender Studies","05",76036.4,18568.5,2143,968.369
2014,"Management analysts","131111","Communications","09",83503.0,6865.45,20939,2848.5
2014,"Management analysts","131111","Computer and Information Sciences and Support Services","11",97993.7,5602.93,32713,4244.78
2014,"Management analysts","131111","Education","13",78073.9,12483.8,17006,2417.31
2014,"Management analysts","131111","Engineering","14",115514.0,7535.34,55467,4435.42
2014,"Management analysts","131111","Engineering Technologies","15",108485.0,19589.7,4663,1290.05
2014,"Management analysts","131111","Language & Linguistics","16",93859.6,31881.2,4814,1565.27
2014,"Management analysts","131111","Human Sciences","19",91118.2,24516.8,1849,889.431
2014,"Management analysts","131111","Legal","22",69135.9,22947.5,797,504.375
2014,"Management analysts","131111","English","23",90366.4,18933.7,12149,2052.41
2014,"Management analysts","131111","Liberal Arts & Humanities","24",114085.0,36041.0,6044,1713.54
2014,"Management analysts","131111","Biology","26",101130.0,10942.4,15863,2181.27
2014,"Management analysts","131111","Math & Statistics","27",103624.0,13646.1,13780,2144.7
2014,"Management analysts","131111","Interdisciplinary Studies","30",83845.2,15829.6,3496,1034.45
2014,"Management analysts","131111","Parks, Recreation, & Leisure","31",60023.2,14306.0,1582,837.964
2014,"Management analysts","131111","Philosophy and Religious Studies","38",88797.3,24644.7,2588,911.197
2014,"Management analysts","131111","Theology","39",69969.5,25336.9,1528,1005.35
2014,"Management analysts","131111","Physical Sciences","40",109804.0,17025.6,13630,2424.97
2014,"Management analysts","131111","Psychology","42",91153.8,12050.4,22014,3057.65
2014,"Management analysts","131111","Protective Services","43",85655.3,23137.3,3573,1033.93
2014,"Management analysts","131111","Public Administration and Social Service","44",81377.5,16507.6,3636,1154.14
2014,"Management analysts","131111","Social Sciences","45",104608.0,6743.62,59773,4681.84
2014,"Management analysts","131111","Construction","46",126952.0,54804.9,1856,1250.35
2014,"Management analysts","131111","Transportation","49",112853.0,19794.9,1107,603.326
2014,"Management analysts","131111","Visual & Performing Arts","50",70123.7,8069.52,13271,2841.58
2014,"Management analysts","131111","Health","51",94556.0,15986.5,13030,2123.12
2014,"Management analysts","131111","Business","52",99113.1,3395.51,161696,8313.43
2014,"Management analysts","131111","History","54",103263.0,14445.3,11530,1929.15
2014,"Management analysts","131111","Multidisciplinary or General Science","GS",117820.0,27461.7,4522,1282.37
2014,"Meeting, convention, & event planners","131121","Cultural & Gender Studies","05",70658.7,15918.3,1061,867.808
2014,"Meeting, convention, & event planners","131121","Communications","09",43337.6,3415.31,12269,2352.27
2014,"Meeting, convention, & event planners","131121","Education","13",40621.9,5708.29,2996,930.153
2014,"Meeting, convention, & event planners","131121","Engineering","14",58977.6,24325.3,1312,877.213
2014,"Meeting, convention, & event planners","131121","Language & Linguistics","16",42460.4,20604.3,551,414.536
2014,"Meeting, convention, & event planners","131121","Human Sciences","19",52551.2,14175.1,864,477.152
2014,"Meeting, convention, & event planners","131121","English","23",47569.7,7673.85,3186,1455.23
2014,"Meeting, convention, & event planners","131121","Liberal Arts & Humanities","24",26967.1,5856.08,1923,974.026
2014,"Meeting, convention, & event planners","131121","Biology","26",42054.5,9977.88,941,531.945
